E5RT encountered an STL exception. msg = MILCompilerForANE error: failed to compile ANE model using ANEF. Error=_ANECompiler : ANECCompile() FAILED.E5RT encountered an STL exception. msg = MILCompilerForANE error: failed to compile ANE model using ANEF. Error=_ANECompiler : ANECCompile() FAILED.E5RT encountered an STL exception. msg = MILCompilerForANE error: failed to compile ANE model using ANEF. Error=_ANECompiler : ANECCompile() FAILED.E5RT encountered an STL exception. msg = MILCompilerForANE error: failed to compile ANE model using ANEF. Error=_ANECompiler : ANECCompile() FAILED.E5RT encountered an STL exception. msg = MILCompilerForANE error: failed to compile ANE model using ANEF. Error=_ANECompiler : ANECCompile() FAILED.E5RT encountered an STL exception. msg = MILCompilerForANE error: failed to compile ANE model using ANEF. Error=_ANECompiler : ANECCompile() FAILED.E5RT encountered an STL exception. msg = MILCompilerForANE error: failed to compile ANE model using ANEF. Error=_ANECompiler : ANECCompile() FAILED.E5RT encountered an STL exception. msg = MILCompilerForANE error: failed to compile ANE model using ANEF. Error=_ANECompiler : ANECCompile() FAILED.
laya-multilingual ane all 64 load 19.5s ops ane=6390 gpu=0 cpu=0 | cost ane=1.000 gpu=0.000 cpu=0.000 | transitions=0
laya-multilingual ane all 96 load 18.9s ops ane=6390 gpu=0 cpu=0 | cost ane=1.000 gpu=0.000 cpu=0.000 | transitions=0
laya-multilingual ane all 128 load 18.9s ops ane=6390 gpu=0 cpu=0 | cost ane=1.000 gpu=0.000 cpu=0.000 | transitions=0
laya-multilingual ane all 256 load 21.3s ops ane=6390 gpu=0 cpu=0 | cost ane=1.000 gpu=0.000 cpu=0.000 | transitions=0
laya-multilingual ane all 512 load 5.5s ops ane=0 gpu=6390 cpu=0 | cost ane=0.000 gpu=1.000 cpu=0.000 | transitions=0
laya-multilingual ane all 1024 load 5.6s ops ane=16 gpu=6374 cpu=0 | cost ane=0.015 gpu=0.985 cpu=0.000 | transitions=1
laya ordinary cpu_ne 64 load 8.9s ops ane=1084 gpu=0 cpu=42 | cost ane=0.735 gpu=0.000 cpu=0.265 | transitions=6
laya ordinary cpu_ne 96 load 8.0s ops ane=1084 gpu=0 cpu=42 | cost ane=0.809 gpu=0.000 cpu=0.191 | transitions=6
laya ordinary cpu_ne 128 load 11.6s ops ane=1084 gpu=0 cpu=42 | cost ane=0.844 gpu=0.000 cpu=0.156 | transitions=6
laya ordinary cpu_ne 256 load 10.3s ops ane=1084 gpu=0 cpu=42 | cost ane=0.915 gpu=0.000 cpu=0.085 | transitions=6
laya ordinary cpu_ne 512 load 9.7s ops ane=1084 gpu=0 cpu=42 | cost ane=0.937 gpu=0.000 cpu=0.063 | transitions=6
laya ordinary all 64 load 8.9s ops ane=1076 gpu=37 cpu=13 | cost ane=0.732 gpu=0.002 cpu=0.267 | transitions=4
laya ordinary all 96 load 8.0s ops ane=1076 gpu=37 cpu=13 | cost ane=0.807 gpu=0.001 cpu=0.191 | transitions=4
laya ordinary all 128 load 8.4s ops ane=1076 gpu=37 cpu=13 | cost ane=0.843 gpu=0.001 cpu=0.156 | transitions=4
laya ordinary all 256 load 40.3s ops ane=0 gpu=1057 cpu=36 | cost ane=0.000 gpu=0.000 cpu=0.000 | transitions=3
laya ordinary all 512 load 42.3s ops ane=0 gpu=1057 cpu=36 | cost ane=0.000 gpu=0.000 cpu=0.000 | transitions=3
E5RT encountered an STL exception. msg = MILCompilerForANE error: failed to compile ANE model using ANEF. Error=_ANECompiler : ANECCompile() FAILED.E5RT encountered an STL exception. msg = MILCompilerForANE error: failed to compile ANE model using ANEF. Error=_ANECompiler : ANECCompile() FAILED.E5RT encountered an STL exception. msg = MILCompilerForANE error: failed to compile ANE model using ANEF. Error=_ANECompiler : ANECCompile() FAILED.E5RT encountered an STL exception. msg = MILCompilerForANE error: failed to compile ANE model using ANEF. Error=_ANECompiler : ANECCompile() FAILED.
laya ane all 64 load 39.1s ops ane=10594 gpu=0 cpu=0 | cost ane=1.000 gpu=0.000 cpu=0.000 | transitions=0
laya ane all 96 load 41.3s ops ane=10594 gpu=0 cpu=0 | cost ane=1.000 gpu=0.000 cpu=0.000 | transitions=0
laya ane all 128 load 42.7s ops ane=10594 gpu=0 cpu=0 | cost ane=1.000 gpu=0.000 cpu=0.000 | transitions=0
laya ane all 256 load 44.8s ops ane=10594 gpu=0 cpu=0 | cost ane=1.000 gpu=0.000 cpu=0.000 | transitions=0
laya ane all 512 load 13.6s ops ane=128 gpu=10466 cpu=0 | cost ane=0.044 gpu=0.956 cpu=0.000 | transitions=1
laya-typed-decisions ane cpu_ne 1024 load 44.5s ops ane=10594 gpu=0 cpu=0 | cost ane=1.000 gpu=0.000 cpu=0.000 | transitions=0
